City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Altay,CN,2021-10-31 18:11:20,47.8667,88.1167,37.2,96,100,5.26
152,Avarua,CK,2021-10-31 18:11:21,-21.2078,-159.775,73.45,78,40,10.36
153,Norman Wells,CA,2021-10-31 18:11:21,65.282,-126.8329,20.37,80,76,7.67
154,Kapiri Mposhi,ZM,2021-10-31 18:11:22,-13.9652,28.6809,78.12,33,72,5.5
155,Erdenet,MN,2021-10-31 18:11:22,49.0333,104.0833,29.35,59,96,4.88
156,Adrar,MR,2021-10-31 18:11:23,20.5022,-10.0711,89.91,13,57,8.01
157,Nanortalik,GL,2021-10-31 18:11:24,60.1432,-45.2371,34.12,74,57,14.0
158,Marawi,PH,2021-10-31 18:11:24,7.9986,124.2928,65.64,94,88,0.38
159,Lebu,CL,2021-10-31 18:11:25,-37.6167,-73.65,59.32,73,100,8.79
160,Urumqi,CN,2021-10-31 18:08:05,43.801,87.6005,40.15,70,0,4.47
161,Kruisfontein,ZA,2021-10-31 18:11:26,-34.0033,24.7314,63.79,86,96,5.57
162,Wangkui,CN,2021-10-31 18:11:26,46.8333,126.5,27.39,40,15,6.51
163,Dukat,RU,2021-10-31 18:11:27,62.55,155.55,-16.35,99,93,4.54
164,Airai,TL,2021-10-31 18:11:27,-8.9266,125.4092,60.82,88,94,2.04
165,Knysna,ZA,2021-10-31 18:11:28,-34.0363,23.0471,64.78,70,82,0.72
166,Shenkursk,RU,2021-10-31 18:11:28,62.1091,42.896,42.06,90,100,4.54
167,Ovalle,CL,2021-10-31 18:11:29,-30.5983,-71.2003,73.94,44,88,10.58
168,Fukue,JP,2021-10-31 18:11:29,32.6881,128.8419,68.5,61,76,14.47
169,Chabahar,IR,2021-10-31 18:11:30,25.2919,60.643,81.43,64,0,6.67
170,Khatanga,RU,2021-10-31 18:11:31,71.9667,102.5,4.95,96,100,9.48
171,Mersing,MY,2021-10-31 18:11:31,2.4312,103.8405,78.91,86,60,6.02
